FromRevision;ToRevision;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;StructDiff;UnchangedPointers;;Overhead;Savings;SavingsHEROS
200909021347;200909021404;1.22;0.84;0.40;31815;31815;0;0.40;0.21;0.13;;-31.15;47.62;47.62
200909021404;200909021405;0.95;0.79;0.33;31815;31815;0;0.33;0.15;0.12;;-16.84;41.77;41.77
200909021405;200909021406;0.82;0.85;0.31;31815;31815;0;0.31;0.14;0.11;;3.66;36.47;36.47
200909021406;200909071243;0.83;0.82;0.34;31815;31815;0;0.34;0.15;0.13;;-1.20;41.46;41.46
200909071243;200909071317;0.93;0.78;0.53;31960;31960;1446.9;0.39;0.18;0.24;;-16.13;67.95;67.95
200909071317;200909071434;0.80;0.87;0.33;31960;31960;0;0.33;0.16;0.12;;8.75;37.93;37.93
200909071434;200909091000;0.86;0.80;0.34;31960;31960;0;0.34;0.15;0.12;;-6.98;42.50;42.50
200909091000;200909091001;0.87;0.82;0.59;31960;31960;0;0.59;0.16;0.15;;-5.75;71.95;71.95
200909091001;200910031237;0.82;0.90;0.35;31960;31960;0;0.35;0.16;0.12;;9.76;38.89;38.89
200910031237;200910031238;0.78;0.85;0.35;31960;31960;0;0.35;0.17;0.12;;8.97;41.18;41.18
200910031238;200910081643;0.83;0.82;0.32;31960;31960;0;0.32;0.14;0.11;;-1.20;39.02;39.02
200910081643;200910261431;0.81;0.79;0.33;31960;31960;0;0.33;0.18;0.12;;-2.47;41.77;41.77
200910261431;200910291810;0.92;0.74;0.35;31960;31960;0;0.35;0.16;0.13;;-19.57;47.30;47.30
200910291810;201004301121;0.92;0.86;0.34;31960;31960;0;0.34;0.18;0.11;;-6.52;39.53;39.53
201004301121;201005011732;0.79;0.75;0.36;31960;31960;0;0.36;0.16;0.12;;-5.06;48.00;48.00
201005011732;201006041053;0.85;0.94;0.49;32022;32022;1064;0.39;0.19;0.11;;10.59;52.13;52.13
201006041053;201009011057;0.93;0.86;0.32;32022;32022;0;0.32;0.15;0.12;;-7.53;37.21;37.21
201009011057;201108161456;0.80;0.78;0.35;32022;32022;0;0.35;0.16;0.12;;-2.50;44.87;44.87
201108161456;201108170943;1.18;0.83;0.34;32022;32022;0;0.34;0.20;0.11;;-29.66;40.96;40.96
201108170943;201109060818;0.77;0.80;0.35;32022;32022;0;0.35;0.16;0.13;;3.90;43.75;43.75
201109060818;201201061648;0.87;0.89;0.37;32022;32022;0;0.37;0.17;0.13;;2.30;41.57;41.57
201201061648;201210190454;0.80;0.73;0.38;32022;32022;0;0.38;0.19;0.13;;-8.75;52.05;52.05
201210190454;201306271843;0.74;0.97;0.93;32549;32549;13496;0.45;0.20;0.12;;31.08;95.88;95.88
201306271843;201307121737;0.90;1.23;0.32;32549;32549;0;0.32;0.20;0.13;;36.67;26.02;26.02
