FromRevision;ToRevision;Recompute;Incremental;
200909021347;200909021404;1.22;0.40;
200909021404;200909021405;2.17;0.73;
200909021405;200909021406;2.99;1.04;
200909021406;200909071243;3.82;1.38;
200909071243;200909071317;4.75;1.91;
200909071317;200909071434;5.55;2.24;
200909071434;200909091000;6.41;2.58;
200909091000;200909091001;7.28;3.17;
200909091001;200910031237;8.10;3.52;
200910031237;200910031238;8.88;3.87;
200910031238;200910081643;9.71;4.19;
200910081643;200910261431;10.52;4.52;
200910261431;200910291810;11.44;4.87;
200910291810;201004301121;12.36;5.21;
201004301121;201005011732;13.15;5.57;
201005011732;201006041053;14.00;6.06;
201006041053;201009011057;14.93;6.38;
201009011057;201108161456;15.73;6.73;
201108161456;201108170943;16.91;7.07;
201108170943;201109060818;17.68;7.42;
201109060818;201201061648;18.55;7.79;
201201061648;201210190454;19.35;8.17;
201210190454;201306271843;20.09;9.10;
201306271843;201307121737;20.99;9.42;
