FromRevision;ToRevision;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;StructDiff;UnchangedPointers;;Overhead;Savings;SavingsHEROS
200909021347;200909021404;0.92;0.95;0.39;;36545;0;0.39;0.18;0.12;;3.26;41.05;41.05
200909021404;200909021405;0.97;0.86;0.40;;36545;0;0.40;0.19;0.14;;-11.34;46.51;46.51
200909021405;200909021406;1.02;0.97;0.38;;36545;0;0.38;0.20;0.11;;-4.90;39.18;39.18
200909021406;200909071243;1.23;1.38;0.36;;36545;0;0.36;0.15;0.12;;12.20;26.09;26.09
200909071243;200909071317;1.04;0.94;0.92;;36602;305;0.39;0.15;0.11;;-9.62;97.87;97.87
200909071317;200909071434;1.19;0.93;0.38;;36602;0;0.38;0.16;0.11;;-21.85;40.86;40.86
200909071434;200909091000;1.23;0.94;0.36;;36602;0;0.36;0.16;0.11;;-23.58;38.30;38.30
200909091000;200909091001;0.95;1.07;0.36;;36602;0;0.36;0.15;0.12;;12.63;33.64;33.64
200909091001;200910031237;0.93;0.90;0.36;;36602;0;0.36;0.15;0.12;;-3.23;40.00;40.00
200910031237;200910031238;1.07;0.95;0.37;;36602;0;0.37;0.16;0.11;;-11.21;38.95;38.95
200910031238;200910081643;1.09;1.32;0.39;;36602;0;0.39;0.20;0.13;;21.10;29.55;29.55
200910081643;200910261431;0.97;0.94;0.38;;36602;0;0.38;0.16;0.12;;-3.09;40.43;40.43
200910261431;200910291810;1.02;0.99;0.39;;36602;0;0.39;0.17;0.12;;-2.94;39.39;39.39
200910291810;201004301121;0.97;0.87;0.34;;36602;0;0.34;0.14;0.11;;-10.31;39.08;39.08
201004301121;201005011732;0.97;1.00;0.40;;36602;0;0.40;0.18;0.12;;3.09;40.00;40.00
201005011732;201006041053;1.00;0.96;0.52;;36765;1183;0.41;0.18;0.11;;-4.00;54.17;54.17
201006041053;201009011057;0.94;0.83;0.35;;36765;0;0.35;0.14;0.11;;-11.70;42.17;42.17
201009011057;201108161456;1.02;1.00;0.58;;36765;0;0.58;0.58;0.12;;-1.96;58.00;58.00
201108161456;201108170943;0.92;1.00;0.39;;36765;0;0.39;0.19;0.12;;8.70;39.00;39.00
201108170943;201109060818;1.03;1.01;0.38;;36765;0;0.38;0.17;0.11;;-1.94;37.62;37.62
201109060818;201201061648;1.04;0.96;0.37;;36765;0;0.37;0.16;0.12;;-8.08;38.70;38.70
201201061648;201210190454;1.33;0.84;0.38;;36765;0;0.38;0.19;0.12;;-36.84;44.97;44.97
201210190454;201306271843;0.97;1.01;1.24;;37769;27179;0.45;0.17;0.13;;4.12;122.77;122.77
201306271843;201307121737;1.00;1.03;0.40;;37769;0;0.40;0.16;0.14;;3.00;38.83;38.83
