FromRevision;ToRevision;Recompute;Incremental;
200909021347;200909021404;0.96;0.52;
200909021404;200909021405;1.94;0.87;
200909021405;200909021406;2.96;1.45;
200909021406;200909071243;3.88;1.84;
200909071243;200909071317;4.91;2.22;
200909071317;200909071434;5.95;2.59;
200909071434;200909091000;7.28;2.97;
200909091000;200909091001;8.25;4.21;
200909091001;200910031237;9.25;4.61;
200910031237;200910031238;9.25;4.61;
200910031238;200910081643;9.25;4.61;
200910081643;200910261431;9.25;4.61;
200910261431;200910291810;9.25;4.61;
200910291810;201004301121;9.25;4.61;
201004301121;201005011732;9.25;4.61;
201005011732;201006041053;9.25;4.61;
201006041053;201009011057;9.25;4.61;
201009011057;201108161456;9.25;4.61;
201108161456;201108170943;9.25;4.61;
201108170943;201109060818;9.25;4.61;
201109060818;201201061648;9.25;4.61;
201201061648;201210190454;9.25;4.61;
201210190454;201306271843;9.25;4.61;
201306271843;201307121737;9.25;4.61;
