FromRevision;ToRevision;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;StructDiff;UnchangedPointers;;Overhead;Savings;SavingsHEROS
30720132221;31420132151;127.88;214.90;56.80;4594141;5162621;29758;33.80;10.50;14.30;;68.04;26.43;44.42
31420132151;31620130026;137.03;225.70;29.20;4594141;5162621;0;29.20;10.30;14.30;;64.71;12.94;21.31
31620130026;31820131702;136.87;230.10;28.80;4594141;5162621;0;28.90;10.50;14.40;;68.11;12.52;21.04
31820131702;32020132304;122.09;231.70;46.50;4594531;5163011;22802;28.20;10.30;13.80;;89.78;20.07;38.09
32020132304;32120131735;133.59;216.40;53.50;4604657;5172980;61720;28.80;10.00;14.10;;61.99;24.72;40.05
32120131735;32120132100;129.11;225.80;27.70;4604657;5172980;0;27.70;10.00;13.50;;74.89;12.27;21.45
32120132100;32120132144;129.42;221.60;29.50;4604657;5172980;0;29.50;10.00;15.20;;71.22;13.31;22.79
32120132144;32720132135;129.45;212.30;59.30;4604373;5172696;46296;30.50;10.90;15.00;;64.00;27.93;45.81
32720132135;32720132341;127.92;225.90;28.60;4604373;5172696;0;28.60;10.30;14.00;;76.59;12.66;22.36
32720132341;32720132348;130.57;226.80;89.00;4621160;5189024;301419;33.70;10.40;18.60;;73.70;39.24;68.16
32720132348;40120132353;129.84;220.20;56.30;4614707;5182704;40251;30.50;10.90;14.80;;69.59;25.57;43.36
40120132353;42920132120;136.09;233.30;42.60;4613431;5181447;29415;28.40;10.20;13.90;;71.43;18.26;31.30
42920132120;43020131827;128.30;217.20;37.90;4613449;5181465;164;28.90;10.00;14.40;;69.29;17.45;29.54
43020131827;50120130055;132.59;221.60;28.10;4613449;5181465;0;28.10;10.10;13.60;;67.13;12.68;21.19
50120130055;50220131806;131.56;222.80;39.38;4613366;5181382;946;29.70;10.60;14.60;;69.35;17.67;29.93
50220131806;50220131856;125.86;219.60;29.40;4613366;5181382;0;29.40;10.30;14.60;;74.48;13.39;23.36
50220131856;50720130016;123.49;221.50;43.00;4613389;5181405;24649;29.80;10.50;14.90;;79.37;19.41;34.82
50720130016;52720131836;126.35;233.70;45.40;4612021;5180038;24770;29.00;10.10;14.00;;84.96;19.43;35.93
52720131836;52720132001;129.23;217.70;60.50;4612005;5180022;33429;28.90;10.20;14.30;;68.46;27.79;46.82
52720132001;60520130242;131.17;223.70;70.20;4614061;5182033;83958;29.10;10.60;14.00;;70.54;31.38;53.52
60520130242;60520132159;115.43;221.90;63.30;4612005;5180022;28263;29.10;10.20;14.50;;92.24;28.53;54.84
60520132159;60620130028;124.37;228.70;28.30;4612005;5180022;0;28.30;9.90;14.20;;83.89;12.37;22.76
60620130028;60620130722;137.07;227.70;78.00;4614061;5182033;84016;36.70;18.40;13.90;;66.12;34.26;56.91
60620130722;60620132234;128.66;219.30;29.30;4614061;5182033;0;29.30;10.30;14.34;;70.44;13.36;22.77
