FromRevision;ToRevision;Recompute;Incremental
30720132221;31420132151;127.88;56.80
31420132151;31620130026;264.91;86.00
31620130026;31820131702;401.78;114.80
31820131702;32020132304;523.87;161.30
32020132304;32120131735;657.46;214.80
32120131735;32120132100;786.57;242.50
32120132100;32120132144;916.00;272.00
32120132144;32720132135;1045.45;331.30
32720132135;32720132341;1173.37;359.90
32720132341;32720132348;1303.94;448.90
32720132348;40120132353;1433.78;505.20
40120132353;42920132120;1569.87;547.80
42920132120;43020131827;1698.17;585.70
43020131827;50120130055;1830.76;613.80
50120130055;50220131806;1962.32;653.18
50220131806;50220131856;2088.18;682.58
50220131856;50720130016;2211.67;725.58
50720130016;52720131836;2338.02;770.98
52720131836;52720132001;2467.25;831.48
52720132001;60520130242;2598.42;901.68
60520130242;60520132159;2713.85;964.98
60520132159;60620130028;2838.22;993.28
60620130028;60620130722;2975.29;1071.28
60620130722;60620132234;3103.95;1100.58
