FromRevision;ToRevision;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;StructDiff;UnchangedPointers;;Overhead;Savings;SavingsHEROS
30720132221;31420132151;57.37;50.28;58.15;1148017;1148017;8977;43.5;;;;-12.36;115.65;101.36
31420132151;31620130026;57.55;56.12;37.55;1148017;1148017;0;37.5;;;;-2.48;66.91;65.25
31620130026;31820131702;59.95;54.78;37.61;1148017;1148017;0;37.6;;;;-8.62;68.66;62.74
31820131702;32020132304;60.12;54.21;45.67;1148246;1148246;5592;34.47;;;;-9.83;84.25;75.96
32020132304;32120131735;58.24;55.11;57.15;1148481;1148481;15176;41.89;;;;-5.37;103.70;98.13
32120131735;32120132100;62.38;60.76;49.87;1148481;1148481;0;49.87;;;;-2.60;82.08;79.95
32120132100;32120132144;63.68;60.43;44.95;1148481;1148481;0;44.95;;;;-5.10;74.38;70.59
32120132144;32720132135;53.78;58.17;60.35;1148346;1148346;13668;41.68;;;;8.16;103.75;112.22
32720132135;32720132341;56.78;56.44;31.50;1148346;1148346;0;31.50;;;;-0.60;55.81;55.48
32720132341;32720132348;52.20;56.59;59.14;1153447;1153447;17714;32.77;;;;8.41;104.51;113.30
32720132348;40120132353;57.74;52.47;69.45;1152609;1152609;10870;49.92;;;;-9.13;132.36;120.28
40120132353;42920132120;61.67;51.81;45.03;1152341;1152341;4439;37.78;;;;-15.99;86.91;73.02
42920132120;43020131827;54.74;54.54;43.88;1152352;1152352;61;40.3;;;;-0.37;80.45;80.16
43020131827;50120130055;72.08;56.83;39.55;1152352;1152352;0;39.55;;;;-21.16;69.59;54.87
50120130055;50220131806;63.99;55.51;34.75;1152321;1152321;277;29.7;;;;-13.25;62.60;54.31
50220131806;50220131856;54.83;59.87;41.70;1152321;1152321;0;41.70;;;;9.19;69.65;76.05
50220131856;50720130016;57.08;52.90;47.58;1152339;1152339;3272;42.07;;;;-7.32;89.94;83.36
50720130016;52720131836;72.26;59.10;59.10;1151762;1151762;3868;40.98;;;;-18.21;100.00;81.79
52720131836;52720132001;58.01;56.29;62.86;1151743;1151743;4195;41.9;;;;-2.97;111.67;108.36
52720132001;60520130242;65.44;58.93;59.14;1152193;1152193;18006;38.06;;;;-9.95;100.36;90.37
60520130242;60520132159;57.25;58.00;55.46;1151743;1151743;6313;31.92;;;;1.31;95.62;96.87
60520132159;60620130028;58.01;53.91;29.37;1151743;1151743;0;29.37;;;;-7.07;54.48;50.63
60620130028;60620130722;55.70;48.13;57.48;1152193;1152193;18015;30.46;;;;-13.60;119.43;103.20
60620130722;60620132234;56.47;54.10;29.86;1152193;1152193;0;29.86;;;;-4.20;55.19;52.88
