FromRevision;ToRevision;Recompute;Incremental
30720132221;30720132221;57,37;58,15
31420132151;31620130026;114,92;95,70
31620130026;31820131702;174,87;133,31
31820131702;32020132304;234,99;178,98
32020132304;32120131735;293,23;236,13
32120131735;32120132100;355,61;286,00
32120132100;32120132144;419,29;330,95
32120132144;32720132135;473,07;391,30
32720132135;32720132341;529,85;422,80
32720132341;32720132348;582,05;481,94
32720132348;40120132353;639,79;551,39
40120132353;42920132120;701,46;596,42
42920132120;43020131827;756,20;640,30
43020131827;50120130055;828,28;679,85
50120130055;50220131806;892,27;714,60
50220131806;50220131856;947,10;756,30
50220131856;50720130016;1004,18;803,88
50720130016;52720131836;1076,44;862,98
52720131836;52720132001;1134,45;925,84
52720132001;60520130242;1199,89;984,98
60520130242;60520132159;1257,14;1040,44
60520132159;60620130028;1315,15;1069,81
60620130028;60620130722;1370,85;1127,29
60620130722;60620132234;1427,32;1157,15
