TestCase;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;Struct Diff;Unchanged Pointers;;;;Overhead
Base Case;43.18;61.85;43.33;1261457.6;1174627;0;;;;;70.06;100.35;43.24
New Variable;48.1;58.28;40.98;1261510.1;1174652;115;33.41;;;;70.32;85.20;21.16
Overwrite Variable;46.52;53.83;36.16;1261667.8;1174817;316;33.3;;;;67.17;77.73;15.71
Remove Statement;48.24;53.28;34.07;1261403.4;1174577;423;29.4;;;;63.95;70.63;10.45
Remove Assignment;43.41;51.2;50.15;1261278.3;1174464;1247;44.38;;;;97.95;115.53;17.95
Add Call Statement;48.5;51.38;29.87;1261480.1;1174641;122;26.54;;;;58.14;61.59;5.94
Add Call Result;46.22;54.41;55.51;1261522.3;1174694;191;51.96;;;;102.02;120.10;17.72
Remove From Loop;46.23;57.08;41.77;1261513.3;1174664;1892;35.53;;;;73.18;90.35;23.47
Overwrite Return;47.56;58.03;37.06;1261447.5;1174627;257;33.6;;;;63.86;77.92;22.01
Two JUnit Versions;47.16;53.53;195.65;1263525.2;1176741;93151.7;35.77;;;;365.50;414.86;13.51
