FromRevision;ToRevision;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;StructDiff;UnchangedPointers;;Overhead;Savings;SavingsHEROS
201306040837;201306041738;61.30;53.30;8.80;2118344;2169863;0;8.80;4.40;3.00;;-13.05;16.51;14.36
201306041738;201306061001;57.30;47.80;11.60;2118473;2169992;2402;9.10;4.50;3.00;;-16.58;24.27;20.24
201306061001;201306061858;44.91;49.90;9.00;2118473;2169992;0;9.00;3.91;2.82;;11.11;18.04;20.04
201306061858;201306131547;48.90;52.30;10.80;2118473;2169992;0;10.80;6.10;3.00;;6.95;20.65;22.09
201306131547;201306140947;36.64;63.80;11.50;2118599;2170118;6263;8.90;4.09;3.00;;74.14;18.03;31.39
201306140947;201306141844;49.60;53.30;9.10;2118599;2170118;0;9.10;4.50;3.10;;7.46;17.07;18.35
201306141844;201306151219;45.45;54.20;11.10;2118599;2170118;0;11.10;6.00;3.50;;19.24;20.48;24.42
201306151219;201306161541;48.20;55.10;9.30;2118599;2170118;0;9.30;4.60;3.00;;14.32;16.88;19.29
201306161541;201306161548;40.00;49.60;11.10;2118599;2170118;0;11.10;6.30;3.10;;24.00;22.38;27.75
201306161548;201306162138;40.50;51.60;9.20;2118599;2170118;0;9.20;4.70;3.10;;27.41;17.83;22.72
201306162138;201306192053;45.90;61.50;9.20;2118599;2170118;0;9.20;4.60;3.10;;33.99;14.96;20.04
201306192053;201306200925;46.70;62.00;8.80;2118599;2170118;0;8.80;4.20;3.00;;32.76;14.19;18.84
201306200925;201306201648;46.30;56.80;14.50;2119246;2170765;14424;11.20;6.30;3.00;;22.68;25.53;31.32
201306201648;201306261912;44.40;56.10;9.20;2119246;2170765;0;9.20;4.50;3.10;;26.35;16.40;20.72
201306261912;201306270212;49.00;53.60;12.50;2119451;2170970;2041;9.40;4.80;3.00;;9.39;23.32;25.51
201306270212;201306281749;50.50;68.40;9.30;2119451;2170970;0;9.30;4.60;3.00;;35.45;13.60;18.42
201306281749;201307011116;48.50;50.90;18.20;2120567;2172086;50388;9.10;4.30;3.00;;4.95;35.76;37.53
201307011116;201307021644;42.09;48.80;15.50;2119451;2170970;47509;9.50;4.60;3.00;;15.94;31.76;36.83
201307021644;201307021649;55.00;49.30;18.70;2120567;2172086;50393;9.30;4.60;3.00;;-10.36;37.93;34.00
201307021649;201307041303;47.60;55.90;11.00;2120567;2172086;0;11.00;6.80;3.10;;17.44;19.68;23.11
201307041303;201307042149;49.80;57.90;32.40;2121858;2173377;166631;9.30;4.70;3.00;;16.27;55.96;65.06
201307042149;201307042220;44.00;57.00;10.70;2121858;2173377;0;10.70;6.20;3.10;;29.55;18.77;24.32
201307042220;201307051815;44.45;49.50;9.00;2121858;2173377;0;9.00;4.30;3.00;;11.35;18.18;20.25
201307051815;201307051826;40.09;54.70;9.10;2121858;2173377;0;9.10;4.50;3.20;;36.44;16.64;22.70
