FromRevision;ToRevision;Recompute;Incremental
201306040837;201306041738;61.30;8.80
201306041738;201306061001;118.60;20.40
201306061001;201306061858;163.51;29.40
201306061858;201306131547;212.41;40.20
201306131547;201306140947;249.05;51.70
201306140947;201306141844;298.65;60.80
201306141844;201306151219;344.10;71.90
201306151219;201306161541;392.30;81.20
201306161541;201306161548;432.30;92.30
201306161548;201306162138;472.80;101.50
201306162138;201306192053;518.70;110.70
201306192053;201306200925;565.40;119.50
201306200925;201306201648;611.70;134.00
201306201648;201306261912;656.10;143.20
201306261912;201306270212;705.10;155.70
201306270212;201306281749;755.60;165.00
201306281749;201307011116;804.10;183.20
201307011116;201307021644;846.19;198.70
201307021644;201307021649;901.19;217.40
201307021649;201307041303;948.79;228.40
201307041303;201307042149;998.59;260.80
201307042149;201307042220;1042.59;271.50
201307042220;201307051815;1087.05;280.50
201307051815;201307051826;1127.14;289.60
