FromRevision;ToRevision;OriginalTiming;InitialTiming;UpdateTiming;OriginalEdges;InitialEdges;UpdateEdges;Changeset;StructDiff;UnchangedPointers;;Overhead;Savings;SavingsHEROS
201306040837;201306041738;49.40;57.33;10.50;1733909;1733909;0;10.50;5.00;3.50;;16.06;18.31;21.26
201306041738;201306061001;49.10;54.60;11.70;1734443;1734443;2189;9.10;4.20;3.00;;11.20;21.43;23.83
201306061001;201306061858;60.80;40.40;9.00;1734443;1734443;0;9.00;4.20;3.00;;-33.55;22.28;14.80
201306061858;201306131547;47.90;40.80;9.40;1734443;1734443;0;9.40;4.30;3.10;;-14.82;23.04;19.62
201306131547;201306140947;38.90;44.20;11.60;1734580;1734580;2703;9.40;4.50;3.00;;13.62;26.24;29.82
201306140947;201306141844;47.00;44.30;9.60;1734580;1734580;0;9.60;4.40;3.10;;-5.74;21.67;20.43
201306141844;201306151219;44.60;44.90;12.00;1734580;1734580;0;12.00;7.00;3.00;;0.67;26.73;26.91
201306151219;201306161541;45.91;43.50;9.50;1734580;1734580;0;9.50;4.50;3.00;;-5.25;21.84;20.69
201306161541;201306161548;42.18;46.70;14.20;1734580;1734580;0;12.91;8.27;3.20;;10.71;30.41;33.66
201306161548;201306162138;56.00;50.80;9.40;1734580;1734580;0;8.55;4.50;3.00;;-9.29;18.50;16.79
201306162138;201306192053;54.10;44.70;9.50;1734580;1734580;0;9.50;4.40;3.10;;-17.38;21.25;17.56
201306192053;201306200925;47.10;48.40;9.30;1734580;1734580;0;9.30;4.10;2.73;;2.76;19.21;19.75
201306200925;201306201648;47.73;39.80;13.50;1734940;1734940;11455;9.70;4.09;2.82;;-16.61;33.92;28.29
201306201648;201306261912;52.30;53.70;11.50;1734940;1734940;0;11.50;6.50;3.00;;2.68;21.42;21.99
201306261912;201306270212;44.40;52.60;12.60;1735155;1735155;1580;9.70;4.70;3.00;;18.47;23.95;28.38
201306270212;201306281749;72.80;43.20;11.00;1735155;1735155;0;11.00;6.10;3.00;;-40.66;25.46;15.11
201306281749;201307011116;45.70;48.50;19.90;1735900;1735900;29991;9.70;4.30;3.00;;6.13;41.03;43.54
201307011116;201307021644;40.60;51.00;15.60;1735155;1735155;29261;9.80;4.30;3.10;;25.62;30.59;38.42
201307021644;201307021649;47.27;52.10;20.00;1735900;1735900;29993;9.60;4.30;3.20;;10.21;38.39;42.31
201307021649;201307041303;51.90;48.30;9.50;1735900;1735900;0;9.50;4.20;3.10;;-6.94;19.67;18.30
201307041303;201307042149;38.45;41.90;47.60;1735943;1735943;106175;9.50;4.50;3.00;;8.96;113.60;123.78
201307042149;201307042220;51.90;46.50;11.40;1735943;1735943;0;11.40;6.30;3.00;;-10.40;24.52;21.97
201307042220;201307051815;56.40;48.10;9.40;1735943;1735943;0;9.40;4.40;3.00;;-14.72;19.54;16.67
201307051815;201307051826;52.80;42.50;11.60;1735943;1735943;0;11.60;6.30;3.20;;-19.51;27.29;21.97
