FromRevision;ToRevision;Recompute;Incremental
201306040837;201306041738;49.40;10.50
201306041738;201306061001;98.50;22.20
201306061001;201306061858;159.30;31.20
201306061858;201306131547;207.20;40.60
201306131547;201306140947;246.10;52.20
201306140947;201306141844;293.10;61.80
201306141844;201306151219;337.70;73.80
201306151219;201306161541;383.61;83.30
201306161541;201306161548;425.79;97.50
201306161548;201306162138;481.79;106.90
201306162138;201306192053;535.89;116.40
201306192053;201306200925;582.99;125.70
201306200925;201306201648;630.72;139.20
201306201648;201306261912;683.02;150.70
201306261912;201306270212;727.42;163.30
201306270212;201306281749;800.22;174.30
201306281749;201307011116;845.92;194.20
201307011116;201307021644;886.52;209.80
201307021644;201307021649;933.79;229.80
201307021649;201307041303;985.69;239.30
201307041303;201307042149;1024.15;286.90
201307042149;201307042220;1076.05;298.30
201307042220;201307051815;1132.45;307.70
201307051815;201307051826;1185.25;319.30
